ASV,Kingdom,Phylum,Class,Order,Family,Genus
12a1f359608843677f6edf90b226c670,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganellaceae_unclassified
c380975d53fd7d465d4e1acb23442cba,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ecb0cc9d4a80dd1d2e51052619d97896,Bacteria,Bacteria_unclassified,c_Bacteria_unclassified,o_Bacteria_unclassified,f_Bacteria_unclassified,g_Bacteria_unclassified
39a42c8c71adfda781a802ba0fa2a263,Bacteria,Bacteria_unclassified,c_Bacteria_unclassified,o_Bacteria_unclassified,f_Bacteria_unclassified,g_Bacteria_unclassified
b1c7a1717ff835d745e6ecd4161d003b,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella
5f1fdc99ea2a8cc933b3497e79a2620a,Bacteria,Bacteria_unclassified,c_Bacteria_unclassified,o_Bacteria_unclassified,f_Bacteria_unclassified,g_Bacteria_unclassified
a19b261c7821b9b27eb0432dd9cd5fed,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Tepidiphilus
edb8266f8679b3bd19a00dfaa2307636,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Rhodocyclaceae_unclassified
5881ad502c45bf419b3baee5b334643e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas
ce35ab9691c1ec5db18a78bf12aa0bc5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
6b8218d4abdf49e2b28e1b034409ce12,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea
76a5b68c5f8d8b3bba28ef5a229bdaff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium
2094a6408f8d9fcfda8a28e744b59933,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterellaceae_unclassified
2e5650656d6494e78eeebc7deee21ae5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
1e3ae227c5cf0200d2fba54a3cc88909,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
9d5fd9ee66148cec3456c23edead6102,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
3cd44222c8c5d518692b7ec465f82b2d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
11db5a84d79c0367cff1c161c54720f5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
2d934e9ef57774fd9ada7c93157a353c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
0fb219ac2e7ba463d38135b668d0c619,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
84d415d809d17ad101bc7c6d4efe6765,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
47dc3f8e44c4ca84479881d87d837fc5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
f63fefc20083e036de443fbc6a0e03ca,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
c9530512bab2487f5ed05bd9c1b5a642,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
4ad2544b3133d4fd4b96ef0cf6307d89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
4fa920ad46ec2f9217c73d7b0b0d5d91,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacteraceae_unclassified
2ee01a5af6c80f36ddf419edbd1d3b62,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
69512dc260f6c18c39b2f5985bbf0db3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
9c496b755b0be301321b90820d1bd4b1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
4343c070264906eeccecf51f518dd23a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
46d723ecaed469d6d9712178cec9a31c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
f35a90488dd9805ebacb8f4d78115282,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
e2f2cdeaffe701a45152a9e944952831,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
85d55291bcaa47f211a63395691b4b1e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
200d58f25e4647bfff808b78e7dc6ac2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
94825e80b34bf36ddccff12275274645,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
b287cab444e7d4ccfb89b147b6a3e1ea,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
3d2c97d3a7a30c9c1aa1a4dc5df076b6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
8035636404153c07a720c23dd46c3b6d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
b49747c9161fe84b66531d0f184694fe,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
a7f7c7795ffdebfaf80693415e9fe888,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
6079a77ddd24ce0b172663501a64de48,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseriaceae_unclassified
e7bde9b662b8a1f50251014451a4c3c7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
8a220c6632b95e9658c8dd008391de99,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
a827b4a7d87fed67a9188d0e801b8062,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
1c77ab458eb807c8152dcfe85a2c881b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Kingella
40ea9dee67db01bfa27b56d53846f863,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Kingella
9365553abc73c0407f15a1bf82b90c37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
27a759c8da41b9ce772b0d618fcf324d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
cab284eb0acc868e2395d19860346bf6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
20a8698399c385fed469ea0e9c5f5ccf,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
c773422b3dd3b7f057a6ec0d5fb93733,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
65d49098ddce38e5db40cb84725f193b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
c993088bc2d0886940369ffee98ddc89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
0697123d679cfbe360ff5e40fc1d3782,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
1d506ad9840897abdc6467ee7ee8a373,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
ba1ae71c0af1265e471d29d300704283,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella
47f251666b243997946d6998cc1ad63d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseriaceae_unclassified
6d580a450a02131635a8256d127dbcdd,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
0a37eb82f9619bf6c2a964b3c8088514,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
cc014a39ba629d6ae6e51ebdab77e148,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
7c36b3758c56ee9dc4870129f54acc4e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
cc41f4d51f6bb8d377d4ada9cf68d695,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
841ea34437228d9fa66de17a4edfdaec,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
1afade418f0824ac538ff570577c89f9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
5487af5e9c789799eb4d7a51dbb70f59,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
